,Reviews,Topic,Topic Label
0,A3F73SC1LY51OO,7,quality
1,A20S66SKYXULG2,0,plastic
2,A2I8LFSN2IS5EO,19,travel
3,A3GT2EWQSO45ZG,16,bucket
4,A3ESWJPAVRPWB4,7,quality
5,A1ORODEBRN64C,12,pressure
6,A2R49ZN3G6FTCQ,5,shipping
7,A1Q65KYDKXIX8E,7,quality
8,A3BI8BKIHESDNQ,1,winter batteries
9,A1R089P5AS26UE,16,bucket
10,A2TQST4IPVA0EC,10,rubber
11,A3MQAQT8C6D1I7,12,pressure
12,A1C6RZG7XQZBUZ,0,plastic
13,A3GT2EWQSO45ZG,0,plastic
14,A3I23XW4L5ITOG,0,plastic
15,A30ASPRK2VP8QC,9,worked
16,A1KKOA3FP2DMBW,15,advertise
17,A3L1VJMHFWONCB,7,quality
18,A1HPC4BDRLR60,0,plastic
19,A3IHX99Z9OK2Y9,8,instructions
20,AT5F1MKA8C2IZ,15,advertise
21,A4YV49T8Y0X94,15,advertise
22,A204K1OFE8OB9Y,0,plastic
23,A36HBGDEFPWD0U,16,bucket
24,A2FJKITDY5UUHJ,14,recommendation
25,A3LYC4BXRDE5RZ,13,washing
26,AEL6CQNQXONBX,16,bucket
27,A3APEIJOQXE142,16,bucket
28,A24EQC4LXYPT4E,16,bucket
29,A2H5KD2A9MUZEX,18,brush
30,A1LOENXGC0WRI2,16,bucket
31,A32TGXG3ZWJ4DY,5,shipping
32,AHC2CUX3AWPHC,16,bucket
33,A2RO3DC31WU3LY,18,brush
34,A1CIBI697YK58A,16,bucket
35,A1QF996642YT9L,16,bucket
36,A3NEAETOSXDBOM,16,bucket
37,A38T1X0WFI8K9L,16,bucket
38,A33ASQ3O2MIPNP,16,bucket
39,A1F9Z42CFF9IAY,16,bucket
40,A20ZLDHGXMVT8H,18,brush
41,A3MH75XEELHGY0,16,bucket
42,AVQDEM0DQJC0B,14,recommendation
43,AP37T7UPLQGWU,14,recommendation
44,A22QKNGN59XYZG,3,liquid
45,A30XYS6AQ17DNK,16,bucket
46,A1IU7S4HCK1XK0,16,bucket
47,A2YDD9A0U77LYS,18,brush
48,A2XXRN2ANQDBKO,16,bucket
49,A3155NWLKXEY1I,17,camp
50,A31Y28UEDXQ0HB,15,advertise
51,A9GPCR9WJQCCJ,9,worked
52,A2TT3U4U8NMWEL,7,quality
53,AEWYUPCNDV7HY,16,bucket
54,A3REK3OFONWB1Q,0,plastic
55,AT8TS7XTO8TIE,15,advertise
56,AQJUBIWM5GPEZ,0,plastic
57,A1TRAEV7QWA5DX,14,recommendation
58,A3NHUQ33CFH3VM,0,plastic
59,A1UK8H3Z0AN2YA,10,rubber
60,A27YMV29BOMCV3,18,brush
61,A2YCR42YHJFI3Z,18,brush
62,A2IID0Z6EHF5KP,14,recommendation
63,A11YIHB6IW352W,18,brush
64,APS831ZLF95PS,0,plastic
65,A58N07M0ZCYMB,14,recommendation
66,A3CG93783LP0FO,0,plastic
67,A3FP9141P7DHT6,19,travel
68,ARAKTT5M3DDYA,19,travel
69,AVOOU49YPVHGN,19,travel
70,A3N1BZ7190CI3J,15,advertise
71,A3OU81LAFVJOIN,12,pressure
72,A1CMD08Z49PGKQ,8,instructions
73,A11OH777695MM7,0,plastic
74,A1HI4VM5Q4LUET,19,travel
75,A10FHIE6EYFOUG,0,plastic
76,A3AY333WHF4H3E,14,recommendation
77,A2C7BBZMDFO5D7,0,plastic
78,A1XB48WXBCHM6N,0,plastic
79,A314KKDIJWCNMV,4,wind
80,A34KAA7V803KJA,18,brush
81,A1DIPVFBDL4W6R,15,advertise
82,A3STK5WDK5UB58,4,wind
83,A2HD6G443MGH2A,14,recommendation
84,A3HKTLQYKZYM4S,4,wind
85,AVRFK0I9WDS2P,7,quality
86,A354GLN1MK52Y5,15,advertise
87,A1X1CEGHTHMBL1,14,recommendation
88,A1U8ED9PT5Q0ZC,4,wind
89,A2BYXX5JLY4FIU,4,wind
90,A2JNI9V0X3YHK,4,wind
91,A3AZUX1EW379D0,18,brush
92,A36V9OCTKMQI9Q,15,advertise
93,A18B28FB5FRJDY,15,advertise
94,A2XXRN2ANQDBKO,4,wind
95,A1NDLSP4GCL3XD,16,bucket
96,A2O8LMXTUV715H,13,washing
97,A3FP9141P7DHT6,19,travel
98,A3LNC0DVTAAO7A,12,pressure
99,A2UU3TQD379THD,18,brush
100,A21HW1D1AMR9OE,19,travel
101,A3ONR0WWEC3SAB,15,advertise
102,A2R8QRDT7OY7D6,19,travel
103,A3IUR0O7NC9SC8,0,plastic
104,A34A1UP40713F8,2,engines
105,A2QMK160DUX134,8,instructions
106,A2N7X2Q5JX7XRM,7,quality
107,A100WO06OQR8BQ,0,plastic
108,A1Y4Y0MMSFNJWT,7,quality
109,A2KS0XOY3WHGL4,2,engines
110,A205ZP18PBAATA,2,engines
111,A24SYO10RBABLT,17,camp
112,A3N0P5AAMP6XD2,2,engines
113,AO4VTVBTD0QED,10,rubber
114,A26JZGSF1SBQMY,18,brush
115,AEV34C745C0FH,2,engines
116,A2QBZTG2TIZDER,2,engines
117,A21XUDC9QBLLSI,14,recommendation
118,AQ55H30MZSV0Q,2,engines
119,A4N52S2HDHF4Y,0,plastic
120,A34ZS78ACD3D7Z,7,quality
121,AVOOU49YPVHGN,15,advertise
122,A2974KOBZGV447,8,instructions
123,A3HOXLX04H8VDZ,5,shipping
124,AMDBZ5P0GAT69,0,plastic
125,A3INN916E4VION,10,rubber
126,A11OH777695MM7,8,instructions
127,A2B5RVOAEPEDLH,16,bucket
128,A16PIEV3K5V6AO,16,bucket
129,A204K1OFE8OB9Y,0,plastic
130,A1QOIHVQC5XWCJ,1,winter batteries
131,AFNG8O2DXRCUV,16,bucket
132,A2PQJRBRH1IVB4,5,shipping
133,ACSNL0L1C7G9P,15,advertise
134,AZOK5STV85FBJ,1,winter batteries
135,A6FIW5DREWU28,16,bucket
136,A2DG8PH0DXDB3F,9,worked
137,ALA9EIJ7G1SCF,1,winter batteries
138,A23SJHTJ3AWJZU,19,travel
139,A23S20ZI041Q75,8,instructions
140,ABX9ZBMGSD31O,8,instructions
141,A2WZT9FDW7QKD0,14,recommendation
142,A3PBPEFMYAX0CT,19,travel
143,A18WXDHTOSE24Y,19,travel
144,A302DURNQ1L66H,19,travel
145,A216JZZ0EXV5ZZ,18,brush
146,A1HI4VM5Q4LUET,0,plastic
147,A29BHW9YT2FZ77,15,advertise
148,ABVYGB2TKBO8F,19,travel
149,A1AN5YW8890YHN,19,travel
150,A3FNO6IZUZMIYI,19,travel
151,A2SCFLORGS4PVI,17,camp
152,A234GO3KZYKKTE,7,quality
153,A4WE0UGOCKDPX,15,advertise
154,A28QBMCWQPHAMN,19,travel
155,A228B35PGJ9S8I,10,rubber
156,AAKSJRUP1UNX2,7,quality
157,AOU7YU711QNSS,16,bucket
158,A19RPDCMN4HJ8M,13,washing
159,AYC0EKXYI2T8K,10,rubber
160,A1GGWEX2RW0IRW,17,camp
161,ANJUT5JDG5RU1,9,worked
162,A3I4QS0F350D17,13,washing
163,A3999B1P01986J,16,bucket
164,A8J75B2DIZ30U,13,washing
165,A1BLFV4OHEH4E1,16,bucket
166,A100UD67AHFODS,13,washing
167,A1X2UUMY3RSSNZ,18,brush
168,A1R3T01MVZU6Z5,16,bucket
169,A2NSMJVQY0RV9S,17,camp
170,A2DQGD2M6EZRS6,9,worked
171,A363ZU842144NS,18,brush
172,A24RT6AVJXJZHF,13,washing
173,A37KNOJXE2FU6,18,brush
174,AB5X63CW9O0R6,15,advertise
175,AX645IEO2KC14,14,recommendation
176,A2F2U4O1U6MN9J,13,washing
177,A2ECRAJZ9U5KO8,0,plastic
